,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
115,2.0,0.0,0.125,0.04167,0.125,5.0
116,4.0,0.0,0.0,0.0,1.0,2.0
117,2.0,0.0,0.0,0.0,0.0,4.0
118,2.0,0.04167,0.33333,0.25,0.45833,1.0
119,2.0,0.5,0.5,0.0,0.0,6.0
120,2.0,0.0,0.55556,0.0,0.0,3.0
121,2.0,0.0,0.0,0.125,0.0,4.0
122,2.0,0.0,0.0,0.0,0.0,6.0
123,2.0,0.0,0.09091,0.0,0.36364,0.0
124,2.0,0.0,0.0,0.0,0.0,4.0
125,5.0,0.0,0.0,0.0,0.0,4.0
126,2.0,0.0,0.0,0.0,0.0,4.0
127,2.0,0.0,0.07692,0.0,0.07692,3.0
128,2.0,0.0,0.27778,0.05556,0.38889,5.0
129,2.0,0.00714,0.53571,0.01429,0.15,4.0
130,2.0,0.0,0.0,0.0,0.7,1.0
131,2.0,0.0,0.0,0.0,0.0,5.0
132,2.0,0.125,0.125,0.0,0.0,4.0
133,2.0,0.0,1.0,0.0,0.0,6.0
134,2.0,0.0,0.42857,0.14286,0.07143,3.0
135,2.0,0.0,0.25,0.0,0.0,4.0
136,2.0,0.0,0.0,0.0,0.25,5.0
137,2.0,0.0,0.25,0.08333,0.0,4.0
138,2.0,0.07143,0.25,0.03571,0.10714,3.0
139,2.0,0.0,0.0,0.0,0.0,2.0
140,2.0,0.0,0.33333,0.0,0.33333,5.0
141,2.0,0.02532,0.29114,0.0,0.16456,4.0
142,2.0,0.0,0.0303,0.06061,0.66667,3.0
143,4.0,0.0,0.06667,0.0,0.66667,2.0
144,2.0,0.0,0.05405,0.0,0.35135,5.0
145,2.0,0.0,0.0,0.0,1.0,3.0
146,2.0,0.0,0.0,0.0,0.0,6.0
147,2.0,0.0,0.09091,0.18182,0.0,3.0
148,2.0,0.07692,0.07692,0.0,0.15385,3.0
149,2.0,0.0,0.0,1.0,0.0,6.0
150,2.0,0.0,0.33333,0.08333,0.0,4.0
151,2.0,0.0,0.0,0.0,0.0,4.0
152,2.0,0.04545,0.22727,0.09091,0.18182,4.0
153,2.0,0.0,0.07143,0.07143,0.07143,4.0
154,2.0,0.0,0.0,0.0,0.0,6.0
155,4.0,0.01449,0.05797,0.02899,0.2029,2.0
156,2.0,0.0,0.33333,0.0,0.33333,4.0
157,4.0,0.0,0.0,0.0,0.0,1.0
158,2.0,0.1,0.5,0.1,0.25,5.0
159,2.0,0.0,0.24,0.0,0.24,4.0
160,2.0,0.03448,0.13793,0.06897,0.03448,3.0
161,2.0,0.14815,0.40741,0.07407,0.25926,4.0
162,2.0,0.0,1.0,0.0,0.0,6.0
163,4.0,0.0,0.52381,0.04762,0.09524,6.0
164,2.0,0.0625,0.375,0.0625,0.0,4.0
165,2.0,0.0,0.0,0.0,0.0,3.0
166,2.0,0.0,0.25,0.0,0.25,6.0
167,2.0,0.0,0.0,0.0,0.0,6.0
168,2.0,0.0,0.04167,0.04167,0.0,5.0
169,2.0,0.0,0.0,0.0,0.0,3.0
170,2.0,0.0,0.0,0.0,0.0,4.0
171,2.0,0.0,0.26667,0.0,0.66667,3.0
172,2.0,0.0,0.4,0.0,0.4,3.0
173,2.0,0.0,0.0,0.0,0.0,2.0
