,MaterialTecho,Habitantes/Vivienda,Fuente_Combustible,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,Prevalencia
32,2.0,4.2,2.0,1.0,0.0,1.0,1.8,4.4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,9.0
33,0.0,3.5,3.0,0.9,0.0,1.0,1.6,3.9,1.0,1.0,2.0,0.0,0.6,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,9.0
34,0.0,3.83333,3.0,1.0,0.0,1.0,2.33333,4.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0
35,0.0,5.4,2.0,1.0,0.0,1.0,2.24,3.16,1.0,1.16,2.0,0.0,0.4,0.12,0.08,1.0,1.0,3.0,2.0,1.0,1.0,6.0
36,0.0,3.0,3.0,1.0,0.0,1.0,1.66667,4.33333,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,9.0
37,0.0,4.42857,2.0,1.0,0.0,0.0,2.42857,3.92857,1.0,1.0,2.0,0.0,0.14286,0.0,0.71429,1.0,4.0,2.0,2.0,0.0,1.07143,7.0
38,3.0,3.5,3.0,1.0,0.0,1.0,2.0,2.5,1.0,1.0,2.0,0.0,0.0,0.25,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0
39,0.0,4.31818,3.0,0.95455,0.0,1.0,2.40909,3.72727,1.0,1.0,2.0,0.09091,0.04545,0.09091,0.04545,0.90909,1.0,3.0,2.0,1.0,1.0,4.0
40,2.0,5.66667,3.0,1.0,0.0,1.0,2.66667,4.66667,1.0,1.0,2.0,0.0,0.33333,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
41,0.0,5.2,3.0,0.8,0.0,1.0,2.4,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.6,1.0,3.0,1.0,1.0,1.0,4.0
42,0.0,4.86275,3.0,0.98039,0.0,1.0,2.29412,4.0,1.0,1.03922,2.0,0.05882,0.11765,0.09804,0.33333,0.4902,1.0,3.0,2.0,1.0,1.0,3.0
43,3.0,4.55556,3.0,1.0,0.0,1.0,2.33333,3.11111,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.88889,7.0
44,0.0,4.72222,4.0,1.0,0.0,1.0,2.27778,4.0,1.0,1.05556,2.0,0.05556,0.22222,0.0,0.38889,0.94444,1.0,3.0,2.0,1.0,1.0,7.0
45,0.0,4.53333,2.0,1.0,0.0,1.0,2.1,3.58333,1.0,1.1,2.0,0.25,0.46667,0.35,0.51667,0.78333,1.0,3.0,2.0,1.0,1.0,4.0
46,2.0,4.23077,3.0,1.0,0.0,0.0,2.07692,4.15385,1.0,1.0,2.0,0.15385,0.07692,0.07692,0.0,1.0,1.0,3.0,0.0,0.0,1.0,7.0
47,0.0,5.19355,2.0,1.0,0.0,1.0,2.19355,3.87097,1.0,1.32258,2.0,0.16129,0.32258,0.03226,0.16129,0.70968,1.0,3.0,0.0,1.0,1.03226,4.0
48,0.0,6.5,3.0,1.0,0.0,1.0,2.75,4.4375,1.0,1.03125,2.0,0.09375,0.15625,0.1875,0.15625,0.8125,1.0,3.0,2.0,1.0,1.0,6.0
49,0.0,4.3913,2.0,0.95652,0.0,1.0,2.28261,3.52174,1.0,1.06522,2.0,0.04348,0.67391,0.0,0.02174,0.95652,1.0,3.0,2.0,1.0,1.04348,5.0
50,0.0,3.66667,3.0,1.0,0.0,1.0,1.33333,2.66667,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.33333,1.0,7.0,0.0,1.0,0.66667,1.0
51,0.0,3.83333,2.0,1.0,0.0,1.0,2.25,3.41667,1.0,1.08333,2.0,0.08333,0.41667,0.0,0.08333,0.91667,1.0,3.0,0.0,1.0,1.0,2.0
52,0.0,5.05556,2.0,1.0,0.0,0.0,2.38889,2.88889,1.0,1.22222,2.0,0.0,0.38889,0.05556,0.11111,0.77778,1.0,2.0,2.0,1.0,1.0,4.0
53,0.0,5.61111,2.0,1.0,0.0,1.0,2.61111,4.33333,1.0,1.22222,2.0,0.38889,0.27778,0.5,0.0,0.88889,1.0,3.0,2.0,1.0,1.05556,5.0
54,0.0,4.74359,3.0,1.0,0.0,1.0,2.66667,3.20513,1.0,1.10256,2.0,0.0,0.05128,0.02564,0.12821,0.76923,4.0,3.0,2.0,1.0,0.97436,9.0
55,0.0,4.42105,2.0,0.96491,0.0,0.0,2.14035,3.4386,1.0,1.07018,2.0,0.01754,0.07018,0.0,0.03509,0.96491,4.0,3.0,0.0,0.0,0.98246,4.0
56,3.0,3.85714,3.0,1.0,0.0,0.0,1.57143,2.57143,1.0,1.0,2.0,0.0,0.14286,0.0,0.0,0.85714,1.0,7.0,0.0,1.0,0.85714,6.0
57,0.0,3.75,2.0,0.91667,0.0,0.0,2.08333,3.58333,1.0,1.0,2.0,0.08333,0.33333,0.16667,0.0,0.91667,1.0,3.0,0.0,0.0,0.91667,5.0
58,0.0,4.57143,2.0,1.0,0.0,1.0,2.14286,2.14286,1.0,1.28571,2.0,0.0,0.28571,0.0,0.57143,1.0,1.0,2.0,2.0,1.0,1.0,8.0
59,0.0,4.52174,2.0,1.0,0.0,0.0,2.04348,3.6087,1.0,1.13043,2.0,0.0,0.08696,0.04348,0.04348,0.86957,4.0,3.0,0.0,0.0,1.04348,4.0
60,0.0,4.67742,3.0,1.0,0.0,1.0,2.19355,3.64516,1.0,1.22581,2.0,0.0,0.32258,0.0,0.16129,0.96774,1.0,3.0,0.0,1.0,1.0,4.0
61,2.0,4.0,2.0,1.0,0.0,1.0,2.5,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0
62,0.0,4.36111,2.0,1.0,0.0,0.0,2.36111,4.27778,1.0,1.25,2.0,0.02778,0.19444,0.02778,0.5,1.0,4.0,2.0,2.0,0.0,1.11111,3.0
