,Habitantes/Vivienda,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Comparten_Cubiero,Comparten_Cepillo,Dias_Ducha,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,LavadoPostSanitario,Etnia,Prevalencia
80,4.59459,0.78378,0.48649,0.0,0.0,0.56757,0.02703,0.08108,0.02703,1.94595,2.75676,2.0,0.0,0.21622,0.02703,0.05405,0.97297,0.97297,3.0,2.0
81,4.5,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.25,2.0,2.75,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
82,5.79412,0.68571,0.31429,0.0,0.02857,0.4,0.0,0.05714,0.0,1.97143,2.02857,2.0,0.0,0.0,0.0,0.71429,0.94286,0.94286,2.0,2.0
83,5.125,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,2.25,4.0,0.0,0.0,0.0,0.625,0.5,0.625,2.0,4.0
84,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0
85,6.25,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,3.0
86,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,2.0,0.0,0.0,0.5,0.5,1.0,1.0,3.0,4.0
87,4.5,0.59091,0.04545,0.0,0.0,0.36364,0.0,0.0,0.0,1.77273,2.09091,2.0,0.0,0.18182,0.0,0.0,0.81818,1.0,3.0,3.0
88,5.0,1.0,0.72727,0.09091,0.09091,0.45455,0.0,0.0,0.0,1.81818,2.36364,2.0,0.0,0.09091,0.09091,0.09091,1.0,1.0,3.0,2.0
89,6.0,1.0,1.0,0.0,0.0,0.83333,0.0,0.0,0.16667,1.83333,2.4,2.0,0.0,0.16667,0.0,0.0,1.0,1.0,3.0,4.0
90,4.28571,0.91429,0.31429,0.11429,0.0,0.54286,0.05714,0.11429,0.08571,1.97143,2.71429,2.0,0.05714,0.2,0.08571,0.11429,0.82857,0.97143,3.0,1.0
