,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
0,2.0,0.33333,0.0,0.33333,0.0,5.0
1,2.0,0.0,0.0625,0.0,0.0,7.0
2,2.0,0.11111,0.11111,0.11111,0.0,8.0
3,2.0,0.02222,0.13333,0.02222,0.22222,5.0
4,2.0,0.0,0.5,0.0,0.0,9.0
5,2.0,0.02632,0.28947,0.02632,0.05263,4.0
6,2.0,0.05556,0.66667,0.0,0.0,4.0
7,2.0,0.17391,0.26087,0.04348,0.26087,6.0
8,2.0,0.0,1.0,0.0,0.0,0.0
9,2.0,0.0,0.0,0.0,1.0,1.0
10,2.0,0.0,0.0,0.0,0.75,3.0
11,4.0,0.0,0.125,0.0,0.0,9.0
12,5.0,0.0,0.28571,0.0,0.14286,6.0
13,2.0,0.11111,0.88889,0.0,0.22222,8.0
14,2.0,0.0,0.45455,0.0,0.0,6.0
15,4.0,0.0,0.0,0.0,0.375,0.0
16,2.0,0.0,0.10526,0.0,0.0,4.0
17,2.0,0.0,0.75,0.0,0.0,8.0
18,2.0,0.0,0.0,0.0,0.0,8.0
19,2.0,0.0,0.23333,0.0,0.6,3.0
20,2.0,0.0,0.30769,0.0,0.0,6.0
21,2.0,0.0,0.0,0.0,0.0,9.0
22,2.0,0.0,0.66667,0.0,0.0,5.0
23,2.0,0.0,0.0,0.0,0.0,9.0
24,2.0,0.0,0.0,0.0,0.0,9.0
25,2.0,0.0,0.1,0.1,0.0,6.0
26,2.0,0.05263,0.31579,0.0,0.05263,5.0
27,2.0,0.0,0.36364,0.0,0.0,7.0
28,2.0,0.0,0.0,0.0,0.1,8.0
29,2.0,0.0,0.0,0.0,0.0,3.0
30,2.0,0.0,0.41667,0.08333,0.0,8.0
31,2.0,0.0,1.0,0.0,0.0,9.0
32,2.0,0.0,0.0,0.0,0.0,9.0
33,2.0,0.0,0.6,0.0,0.0,9.0
34,2.0,0.0,0.0,0.0,0.0,1.0
35,2.0,0.0,0.4,0.12,0.08,6.0
36,2.0,0.0,0.0,0.0,0.0,9.0
37,2.0,0.0,0.14286,0.0,0.71429,7.0
38,2.0,0.0,0.0,0.25,0.0,3.0
39,2.0,0.09091,0.04545,0.09091,0.04545,4.0
40,2.0,0.0,0.33333,0.0,1.0,5.0
41,2.0,0.0,0.0,0.0,0.0,4.0
42,2.0,0.05882,0.11765,0.09804,0.33333,3.0
43,2.0,0.0,0.0,0.0,0.0,7.0
44,2.0,0.05556,0.22222,0.0,0.38889,7.0
45,2.0,0.25,0.46667,0.35,0.51667,4.0
46,2.0,0.15385,0.07692,0.07692,0.0,7.0
47,2.0,0.16129,0.32258,0.03226,0.16129,4.0
48,2.0,0.09375,0.15625,0.1875,0.15625,6.0
49,2.0,0.04348,0.67391,0.0,0.02174,5.0
