,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Comparten_Cubiero,Comparten_Cepillo,Dias_Ducha,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,LavadoPostSanitario,Etnia,Prevalencia
50,1.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,2.0,2.33333,2.0,0.0,0.0,0.0,0.0,1.0,0.66667,3.0,0.0
51,0.41667,0.08333,0.08333,0.0,0.33333,0.16667,0.0,0.0,1.91667,2.5,2.0,0.08333,0.41667,0.0,0.08333,1.0,1.0,3.0,1.0
52,0.77778,0.22222,0.05556,0.05556,0.44444,0.0,0.0,0.0,2.0,2.66667,2.0,0.0,0.38889,0.05556,0.11111,0.94444,1.0,3.0,2.0
53,0.61111,0.16667,0.05556,0.05556,0.38889,0.0,0.0,0.05556,2.0,2.5,2.0,0.38889,0.27778,0.5,0.0,1.0,1.0,3.0,2.0
54,0.97436,0.07692,0.10256,0.02564,0.28205,0.02564,0.0,0.0,1.97436,2.46154,2.0,0.0,0.05128,0.02564,0.12821,0.92308,0.94872,3.0,4.0
55,0.78947,0.07018,0.0,0.0,0.35088,0.0,0.01754,0.0,1.98246,2.89474,2.0,0.01754,0.07018,0.0,0.03509,0.96491,0.96491,3.0,2.0
56,0.28571,0.14286,0.0,0.0,0.57143,0.0,0.0,0.28571,2.0,2.42857,2.0,0.0,0.14286,0.0,0.0,1.0,1.0,3.0,3.0
57,0.25,0.75,0.0,0.0,0.16667,0.0,0.0,0.0,2.0,2.58333,2.0,0.08333,0.33333,0.16667,0.0,1.0,1.0,3.0,2.0
58,0.71429,0.0,0.0,0.0,0.71429,0.0,0.0,0.14286,2.0,2.71429,2.0,0.0,0.28571,0.0,0.57143,1.0,1.0,3.0,4.0
59,0.47826,0.26087,0.04348,0.0,0.34783,0.0,0.0,0.0,2.0,2.86957,2.0,0.0,0.08696,0.04348,0.04348,1.0,1.0,3.0,2.0
60,0.58065,0.19355,0.0,0.0,0.32258,0.0,0.12903,0.03226,2.0,2.67742,2.0,0.0,0.32258,0.0,0.16129,0.93548,0.93548,3.0,2.0
61,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
62,0.86111,0.25,0.08333,0.0,0.38889,0.08333,0.13889,0.02778,2.0,2.97222,2.0,0.02778,0.19444,0.02778,0.5,1.0,0.97222,3.0,1.0
63,0.3,0.15,0.0,0.0,0.3,0.05,0.0,0.0,1.95,2.3,4.0,0.0,0.05,0.0,0.0,1.0,1.0,0.0,1.0
64,0.66667,0.33333,0.0,0.33333,0.33333,0.0,0.0,0.0,1.66667,2.0,2.0,0.0,0.0,0.0,0.33333,0.66667,1.0,3.0,2.0
65,0.78571,0.5,0.0,0.07143,0.35714,0.07143,0.0,0.0,1.92857,2.28571,2.0,0.0,0.21429,0.14286,0.07143,0.85714,1.0,3.0,2.0
66,0.2,0.8,0.0,0.0,0.4,0.0,0.0,0.0,1.8,2.0,4.0,0.0,0.0,0.2,0.0,1.0,0.8,0.0,3.0
67,1.0,0.0,0.16667,0.0,0.16667,0.16667,0.0,0.0,2.0,2.83333,2.0,0.16667,0.16667,0.0,0.0,1.0,1.0,3.0,3.0
68,0.75309,0.01235,0.07407,0.06173,0.51852,0.08642,0.06173,0.0,2.0,2.74074,2.0,0.01235,0.17284,0.02469,0.07407,0.92593,0.98765,3.0,3.0
