,Habitantes/Vivienda,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
98,4.40909,2.0,0.0,0.0,0.0,0.86364,4.0
99,5.2,2.0,0.0,0.0,0.0,0.0,9.0
100,5.34667,2.0,0.03947,0.11842,0.02632,0.09211,6.0
101,5.0,2.0,0.0,0.0,0.0,0.0,5.0
102,6.44444,2.0,0.0,0.22222,0.0,0.0,4.0
103,4.9,2.0,0.0,0.1,0.0,0.0,3.0
104,6.0,2.0,0.3,0.3,0.1,0.2,3.0
105,4.21053,2.0,0.0,0.26316,0.05263,0.0,4.0
106,6.78571,2.0,0.0,0.07143,0.0,0.0,6.0
107,5.30769,2.0,0.41026,0.41026,0.55128,0.44872,5.0
108,4.94737,2.0,0.0,0.0,0.0,0.05263,4.0
109,4.92857,2.0,0.03571,0.57143,0.07143,0.14286,6.0
110,4.71429,2.0,0.0,0.14286,0.0,0.14286,4.0
111,5.28571,2.0,0.02326,0.16279,0.02326,0.16279,5.0
112,5.13636,2.0,0.09091,0.27273,0.04545,0.0,4.0
113,4.78947,2.0,0.1,0.15,0.0,0.0,0.0
114,4.40741,2.0,0.07407,0.14815,0.11111,0.33333,6.0
115,4.91667,2.0,0.0,0.125,0.04167,0.125,7.0
116,3.5,4.0,0.0,0.0,0.0,1.0,3.0
117,4.33333,2.0,0.0,0.0,0.0,0.0,5.0
118,5.125,2.0,0.04167,0.33333,0.25,0.45833,2.0
119,3.5,2.0,0.5,0.5,0.0,0.0,9.0
120,3.95833,2.0,0.0,0.55556,0.0,0.0,4.0
121,4.375,2.0,0.0,0.0,0.125,0.0,6.0
122,4.0,2.0,0.0,0.0,0.0,0.0,9.0
123,3.7,2.0,0.0,0.09091,0.0,0.36364,0.0
124,5.5,2.0,0.0,0.0,0.0,0.0,5.0
125,5.42857,5.0,0.0,0.0,0.0,0.0,6.0
126,5.25,2.0,0.0,0.0,0.0,0.0,6.0
127,4.15385,2.0,0.0,0.07692,0.0,0.07692,5.0
128,5.88889,2.0,0.0,0.27778,0.05556,0.38889,7.0
129,3.57143,2.0,0.00714,0.53571,0.01429,0.15,6.0
130,5.05,2.0,0.0,0.0,0.0,0.7,2.0
131,4.0,2.0,0.0,0.0,0.0,0.0,7.0
132,4.75,2.0,0.125,0.125,0.0,0.0,6.0
133,5.0,2.0,0.0,1.0,0.0,0.0,9.0
134,4.64286,2.0,0.0,0.42857,0.14286,0.07143,4.0
135,5.125,2.0,0.0,0.25,0.0,0.0,6.0
136,4.25,2.0,0.0,0.0,0.0,0.25,8.0
137,4.83333,2.0,0.0,0.25,0.08333,0.0,6.0
138,4.78571,2.0,0.07143,0.25,0.03571,0.10714,5.0
139,4.5,2.0,0.0,0.0,0.0,0.0,3.0
140,6.0,2.0,0.0,0.33333,0.0,0.33333,7.0
141,4.37975,2.0,0.02532,0.29114,0.0,0.16456,6.0
142,4.66667,2.0,0.0,0.0303,0.06061,0.66667,4.0
143,4.86667,4.0,0.0,0.06667,0.0,0.66667,4.0
144,5.54054,2.0,0.0,0.05405,0.0,0.35135,7.0
145,5.0,2.0,0.0,0.0,0.0,1.0,5.0
146,5.0,2.0,0.0,0.0,0.0,0.0,9.0
147,3.90909,2.0,0.0,0.09091,0.18182,0.0,4.0
148,4.61538,2.0,0.07692,0.07692,0.0,0.15385,5.0
149,9.0,2.0,0.0,0.0,1.0,0.0,9.0
150,4.75,2.0,0.0,0.33333,0.08333,0.0,5.0
151,4.66667,2.0,0.0,0.0,0.0,0.0,5.0
152,5.22727,2.0,0.04545,0.22727,0.09091,0.18182,6.0
153,3.71429,2.0,0.0,0.07143,0.07143,0.07143,6.0
154,5.5,2.0,0.0,0.0,0.0,0.0,9.0
155,4.68116,4.0,0.01449,0.05797,0.02899,0.2029,2.0
156,6.0,2.0,0.0,0.33333,0.0,0.33333,5.0
157,3.8,4.0,0.0,0.0,0.0,0.0,2.0
158,4.85,2.0,0.1,0.5,0.1,0.25,7.0
159,4.28,2.0,0.0,0.24,0.0,0.24,6.0
160,6.58621,2.0,0.03448,0.13793,0.06897,0.03448,5.0
161,4.81481,2.0,0.14815,0.40741,0.07407,0.25926,6.0
162,6.0,2.0,0.0,1.0,0.0,0.0,9.0
163,5.66667,4.0,0.0,0.52381,0.04762,0.09524,8.0
164,6.5625,2.0,0.0625,0.375,0.0625,0.0,6.0
165,3.6,2.0,0.0,0.0,0.0,0.0,4.0
